Code INSEE;Code Postal;Commune;Statut;Altitude Moyenne;Superficie;Population;lattitude;longitude
79013;79150;ARGENTON-LES-VALLEES;Chef-lieu canton;119;2863;1,6;46,9784261272;-0,468875242934
79068;79340;CHANTECORPS;Commune simple;183;1919;0,3;46,5027168303;-0,14677650863
79254;79210;SAINT-GEORGES-DE-REX;Commune simple;17;1765;0,4;46,2672848492;-0,659095506677
79149;79390;LHOUMOIS;Commune simple;147;987;0,1;46,7064468734;-0,126840647275
79127;79360;LA FOYE-MONJAULT;Commune simple;54;1943;0,8;46,1870040122;-0,533179423966
79308;79000;SCIECQ;Commune simple;48;442;0,6;46,3703981885;-0,474635693538
79338;79120;VANZAY;Commune simple;133;1143;0,2;46,2310672583;0,110650290356
79325;79600;TESSONNIERE;Commune simple;135;1474;0,3;46,8126773596;-0,21444629373
79039;79360;BOISSEROLLES;Commune simple;74;865;0,1;46,11264704;-0,449919647334
79297;79120;SAINTE-SOLINE;Commune simple;127;2561;0,4;46,2515989193;0,0479672855851
79330;79110;TILLOU;Commune simple;112;1014;0,3;46,1507015837;-0,121021590694
79335;79270;VALLANS;Commune simple;33;914;0,8;46,2190224234;-0,545587322341
79123;79380;LA FORET-SUR-SEVRE;Commune simple;175;5599;2,3;46,7587446345;-0,648000879918
79178;79100;MISSE;Commune simple;89;1242;0,9;46,9558568224;-0,175760650961
79222;79320;PUGNY;Commune simple;195;700;0,2;46,7216923229;-0,523180063868
79298;79270;SAINT-SYMPHORIEN;Commune simple;22;1901;1,8;46,2674034004;-0,479082156946
79197;79390;OROUX;Commune simple;164;664;0,1;46,6902823818;-0,0938579683212
79159;79330;LUCHE-THOUARSAIS;Commune simple;132;1362;0,4;46,9128068822;-0,304585380598
79062;79140;CERIZAY;Chef-lieu canton;182;1889;4,6;46,8217311036;-0,672469385521
79088;79350;CHICHE;Commune simple;157;4747;1,6;46,7954609677;-0,351768054404
79075;79240;LA CHAPELLE-SAINT-ETIENNE;Commune simple;187;1875;0,3;46,6712926373;-0,580412885716
79307;79190;SAUZE-VAUSSAIS;Chef-lieu canton;144;1925;1,6;46,1223913244;0,111211623906
79326;79390;THENEZAY;Chef-lieu canton;147;4833;1,5;46,7132141775;-0,0410463377578
79231;79260;ROMANS;Commune simple;107;1145;0,7;46,3564424718;-0,228510254531
79199;79500;PAIZAY-LE-TORT;Commune simple;97;1142;0,5;46,1679427207;-0,17085390228
79148;79120;LEZAY;Chef-lieu canton;141;4541;2,1;46,2658473904;-0,0196873311167
79080;79200;CHATILLON-SUR-THOUET;Commune simple;163;1625;2,8;46,6725261071;-0,260421320802
79352;79170;VILLIERS-SUR-CHIZE;Commune simple;64;1141;0,2;46,0980469832;-0,30373228125
79119;79160;FENIOUX;Commune simple;118;3400;0,7;46,540724799;-0,494170726123
79230;79120;ROM;Commune simple;133;5253;0,8;46,3034951181;0,1238295004
79142;79170;JUILLE;Commune simple;69;497;0,1;46,1120285773;-0,223925439976
79008;79350;AMAILLOUX;Commune simple;173;3703;0,8;46,7494537565;-0,313467938365
79059;79240;LE BUSSEAU;Commune simple;136;2783;0,7;46,5831261391;-0,594466016248
79132;79150;GENNETON;Commune simple;112;2767;0,3;47,0447855312;-0,437548690394
79023;79800;AVON;Commune simple;130;1261;0,1;46,3723048467;0,00235793629943
79347;79200;VIENNAY;Commune simple;153;1582;1,1;46,6959251659;-0,247961764946
79072;79300;LA CHAPELLE-GAUDIN;Commune simple;142;1709;0,2;46,9245849772;-0,3865329108
79167;79600;MARNES;Commune simple;83;1717;0,2;46,8531541226;-0,0177888678649
79003;79230;AIFFRES;Commune simple;32;2589;5,2;46,2820504466;-0,41429097467
79048;79260;LA CRECHE;Commune simple;72;3455;5,4;46,3656964606;-0,309032604795
79168;79150;MASSAIS;Commune simple;98;2130;0,6;47,0036730756;-0,358495301454
79295;79500;SAINT-ROMANS-LES-MELLE;Commune simple;103;883;0,7;46,2066461108;-0,196334503286
79158;79170;LUCHE-SUR-BRIOUX;Commune simple;79;514;0,1;46,1344762201;-0,15027346601
79201;79800;PAMPROUX;Commune simple;139;3607;1,7;46,4116775;-0,0432957775624
79009;79210;AMURE;Commune simple;17;1470;0,5;46,2569032806;-0,608681235963
79022;79600;AVAILLES-THOUARSAIS;Commune simple;99;1092;0,2;46,8552025032;-0,136835890651
79024;79400;AZAY-LE-BRULE;Commune simple;97;2217;1,8;46,4045197367;-0,267456920636
79191;79000;NIORT;Préfecture;33;6834;56,9;46,328260242;-0,465353019369
79116;79350;FAYE-L'ABBESSE;Commune simple;147;2333;1;46,8344255301;-0,343663613449
79217;79370;PRAILLES;Commune simple;144;1885;0,7;46,3204184079;-0,202251534086
79129;79370;FRESSINES;Commune simple;95;957;1,3;46,3248806803;-0,299910960177
79236;79380;SAINT-ANDRE-SUR-SEVRE;Commune simple;172;1980;0,7;46,7779589756;-0,699311994263
79161;79100;LUZAY;Commune simple;94;2095;0,6;46,9273390043;-0,2074214162
79106;79110;COUTURE-D'ARGENSON;Commune simple;107;2427;0,4;45,9956854391;-0,0844691973496
79243;79120;SAINT-COUTANT;Commune simple;143;1197;0,3;46,2229123339;0,00585913479042
79174;79500;MELLE;Chef-lieu canton;134;972;3,6;46,2309583731;-0,147888712984
79180;79190;MONTALEMBERT;Commune simple;152;1183;0,3;46,1021234288;0,170162348938
79027;79110;LA BATAILLE;Commune simple;117;630;0,1;46,0857477459;-0,109623150182
79216;79230;PRAHECQ;Chef-lieu canton;46;2496;2,1;46,268539716;-0,344623723709
79020;79400;AUGE;Commune simple;117;2333;0,9;46,4497619282;-0,288817537299
79267;79420;SAINT-LIN;Commune simple;191;1127;0,4;46,5326512584;-0,228519741295
79265;79100;SAINT-LEGER-DE-MONTBRUN;Commune simple;70;3059;1,2;46,989216133;-0,130757727063
79250;79330;SAINTE-GEMME;Commune simple;131;894;0,4;46,8997139729;-0,282960726169
79117;79160;FAYE-SUR-ARDIN;Commune simple;69;1499;0,6;46,4422797046;-0,50477624908
79290;79160;SAINT-POMPAIN;Commune simple;49;2421;0,9;46,4246945473;-0,602460764264
79165;79600;MAISONTIERS;Commune simple;150;1850;0,2;46,7784936839;-0,263054037852
79322;79200;LE TALLUD;Commune simple;161;1929;2;46,627315144;-0,291049695732
79256;79340;SAINT-GERMIER;Commune simple;167;1192;0,2;46,4595030375;-0,0455788333534
79241;79220;SAINT-CHRISTOPHE-SUR-ROC;Commune simple;106;1089;0,6;46,4536311451;-0,35987590684
79273;79230;SAINT-MARTIN-DE-BERNEGOUE;Commune simple;60;1769;0,8;46,2362508702;-0,357119218416
79066;79220;CHAMPDENIERS-SAINT-DENIS;Chef-lieu canton;113;2173;1,7;46,48017177;-0,38233277532
79109;79410;ECHIRE;Commune simple;54;3137;3,3;46,3946292281;-0,426727106349
79112;79270;EPANNES;Commune simple;25;804;0,8;46,2241677035;-0,588710493017
79128;79260;FRANCOIS;Commune simple;54;937;0,9;46,3822106449;-0,344073409629
79175;79190;MELLERAN;Commune simple;157;2000;0,5;46,1300825848;0,00534971717862
79279;79500;SAINT-MARTIN-LES-MELLE;Commune simple;122;919;0,9;46,2262502573;-0,16852854296
79333;79150;ULCOT;Commune simple;109;669;0,1;47,0217824026;-0,399150350473
79357;79220;XAINTRAY;Commune simple;99;1115;0,2;46,4958576969;-0,48044229191
79105;79340;COUTIERES;Commune simple;169;734;0,2;46,4989423539;-0,107332373635
79328;79360;THORIGNY-SUR-LE-MIGNON;Commune simple;33;534;0,1;46,150104348;-0,556777323972
79163;79190;MAIRE-LEVESCAULT;Commune simple;142;1758;0,6;46,1564138724;0,0765658334292
79260;79600;SAINT-JOUIN-DE-MARNES;Commune simple;78;2285;0,6;46,8814213211;-0,0550217260198
79284;79220;SAINTE-OUENNE;Commune simple;69;1144;0,8;46,4384557215;-0,45255458079
79196;79100;OIRON;Commune simple;81;3674;1;46,9369329202;-0,0842351282064
